Year, Data Item, Value
2017, INVENTORY, 7000
2016, INVENTORY, 7000
2015, INVENTORY, 7000
2014, INVENTORY, 7000
2013, INVENTORY, 7000
2012, INVENTORY, 8000
2011, INVENTORY, 9000
2010, INVENTORY, 9000
2009, INVENTORY, 9000
2008, INVENTORY, 9000
2007, INVENTORY, 11000
2006, INVENTORY, 11000
2005, INVENTORY, 13000
2004, INVENTORY, 12000
2003, INVENTORY, 13000
2002, INVENTORY, 12000
2001, INVENTORY, 14000
2000, INVENTORY, 16000
1999, INVENTORY, 17000
1998, INVENTORY, 16000
1997, INVENTORY, 14000
1996, INVENTORY, 15000
1995, INVENTORY, 16000
1994, INVENTORY, 18000
1993, INVENTORY, 19000
1992, INVENTORY, 25000
1991, INVENTORY, 23000
1990, INVENTORY, 29000
1989, INVENTORY, 41000
1988, INVENTORY, 42000
1987, INVENTORY, 46000
