Year, Data Item, Value
2017, INVENTORY, 7000
2016, INVENTORY, 6000
2015, INVENTORY, 5000
2014, INVENTORY, 3000
2013, INVENTORY, 3000
2012, INVENTORY, 4000
2011, INVENTORY, 4000
2010, INVENTORY, 4000
2009, INVENTORY, 5000
2008, INVENTORY, 5000
2007, INVENTORY, 5000
2006, INVENTORY, 6000
2005, INVENTORY, 6000
2004, INVENTORY, 6000
2003, INVENTORY, 7000
2002, INVENTORY, 7000
2001, INVENTORY, 7000
2000, INVENTORY, 7000
1999, INVENTORY, 6000
1998, INVENTORY, 6000
1997, INVENTORY, 5000
1996, INVENTORY, 4000
1995, INVENTORY, 5000
1994, INVENTORY, 5000
1993, INVENTORY, 6000
1992, INVENTORY, 6000
1991, INVENTORY, 6000
1990, INVENTORY, 6000
1989, INVENTORY, 6000
1988, INVENTORY, 7000
1987, INVENTORY, 7000
