Year, Data Item, Value
2017, INVENTORY, 29000
2016, INVENTORY, 24000
2015, INVENTORY, 24000
2014, INVENTORY, 21000
2013, INVENTORY, 22000
2012, INVENTORY, 25000
2011, INVENTORY, 22000
2010, INVENTORY, 25000
2009, INVENTORY, 24000
2008, INVENTORY, 28000
2007, INVENTORY, 28000
2006, INVENTORY, 32000
2005, INVENTORY, 36000
2004, INVENTORY, 40000
2003, INVENTORY, 40000
2002, INVENTORY, 45000
2001, INVENTORY, 50000
2000, INVENTORY, 52000
1999, INVENTORY, 52000
1998, INVENTORY, 53000
1997, INVENTORY, 50000
1996, INVENTORY, 50000
1995, INVENTORY, 55000
1994, INVENTORY, 55000
1993, INVENTORY, 50000
1992, INVENTORY, 45000
1991, INVENTORY, 47000
1990, INVENTORY, 42000
1989, INVENTORY, 34000
1988, INVENTORY, 34000
1987, INVENTORY, 29000
