Year, Data Item, Value
2017, INVENTORY, 13000
2016, INVENTORY, 19000
2015, INVENTORY, 15000
2014, INVENTORY, 20000
2013, INVENTORY, 17000
2012, INVENTORY, 18000
2011, INVENTORY, 18000
2010, INVENTORY, 16000
2009, INVENTORY, 14000
2008, INVENTORY, 14000
2007, INVENTORY, 15000
2006, INVENTORY, 14000
2005, INVENTORY, 16000
2004, INVENTORY, 18000
2003, INVENTORY, 21000
2002, INVENTORY, 18000
2001, INVENTORY, 17000
2000, INVENTORY, 17000
1999, INVENTORY, 18000
1998, INVENTORY, 18000
1997, INVENTORY, 19000
1996, INVENTORY, 17000
1995, INVENTORY, 16000
1994, INVENTORY, 19000
1993, INVENTORY, 17000
1992, INVENTORY, 25000
1991, INVENTORY, 28000
1990, INVENTORY, 24000
1989, INVENTORY, 24000
1988, INVENTORY, 21000
1987, INVENTORY, 19000
