Year, Data Item, Value
2017, INVENTORY, 39000
2016, INVENTORY, 40000
2015, INVENTORY, 38000
2014, INVENTORY, 38000
2013, INVENTORY, 47000
2012, INVENTORY, 50000
2011, INVENTORY, 35000
2010, INVENTORY, 34000
2009, INVENTORY, 37000
2008, INVENTORY, 39000
2007, INVENTORY, 43000
2006, INVENTORY, 39000
2005, INVENTORY, 40000
2004, INVENTORY, 39000
2003, INVENTORY, 39000
2002, INVENTORY, 38000
2001, INVENTORY, 38000
2000, INVENTORY, 39000
1999, INVENTORY, 37000
1998, INVENTORY, 46000
1997, INVENTORY, 38000
1996, INVENTORY, 40000
1995, INVENTORY, 38000
1994, INVENTORY, 46000
1993, INVENTORY, 34000
1992, INVENTORY, 41000
1991, INVENTORY, 41000
1990, INVENTORY, 40000
1989, INVENTORY, 41000
1988, INVENTORY, 39000
1987, INVENTORY, 39000
